जीवति,5
कुत्सायाम्,1
जनपदशब्दात्,1
क्षत्रियात्,1
साल्वेयगान्धारिभ्याम्,1
द्‍व्यञ्मगधकलिङ्गसूरमसाद्,1
वृद्धेत्कोसलाजादात्,1
ञ्यङ्,1
कुरुणादिभ्य,1
साल्वावयवप्रत्यग्रथकलकूटाश्मकात्,1
कम्बोजात्,1
स्त्रियाम्,8
अवन्तिकुन्तिकुरुभ्य,1
तेन,76
रक्तम्,3
रागात्,1
लाक्षारोचनात्,1
(शकलकर्दमात्),1
लुप्,4
अविशेषे,1
श्रवणाश्वत्थाभ्याम्,1
द्वन्द्वात्,3
दृष्टम्,9
साम,2
वामदेवात्,1
ड्यड्ड्यौ,2
रथ,7
पाण्डुकम्बलात्,1
इनि,8
द्वैपवैयाघ्रात्,1
कौमार,1
अपूर्ववचने,1
उद्धृतम्,1
अमत्रेभ्य,1
स्थण्डिलात्,1
शयितरि,1
व्रते,2
संस्कृतम्,3
भक्षा,2
शूलोखात्,1
दध्न,2
उदश्वित,1
क्षीरात्,1
अस्मिन्,12
पौर्णमासि,1
(संज्ञायाम्),1
आग्रहायण्यश्वत्थात्,1
देवता,1
कस्य,1
इत्,14
शुक्रात्,1
घन्,3
अपोनप्त्रपान्नप्तृभ्याम्,1
महेन्द्रात्,1
घाणौ,1
सोमात्,1
ट्यण्,1
वाय्वृतुपित्रुषस,1
द्यावापृथिवीशुनासीरमरुत्वदग्नीषोमवास्तोष्पतिगृहमेधात्,1
अग्ने,2
कालेभ्य,1
भववत्,2
महाराजप्रोष्ठपदात्,1
ठञ्,18
भिक्षाऽऽदिभ्य,1
गोत्रोक्षोष्ट्रोरभ्रराजराजन्यराजपुत्रवत्समनुष्याजात्,1
वुञ्,14
केदारात्,1
कवचिन,1
ब्राह्मणमाणववाडवात्,1
यन्,2
अनुदात्तादे,2
खण्डिकादिभ्य,1
चरणेभ्य,1
धर्मवत्,1
अचित्तहस्तिधेनो,1
केशाश्वाभ्याम्,1
यञ्छौ,1
पाशादिभ्य,1
य,95
इनित्रकट्यच,1
विषय,16
देशे,8
राजन्यादिभ्य,1
भौरिक्याद्यैषुकार्यादिभ्य,1
विधल्भक्तलौ,1
आदि,19
छन्दस,3
प्रगाथेषु,1
सङ्‍ग्रामे,1
प्रयोजनयोद्धृभ्य,1
अस्याम्,3
प्रहरणम्,2
क्रीडायाम्,2
ण,8
घञ,2
क्रिया,4
ञ,2
अधीते,2
तद्वेद,1
क्रतूक्थादिसूत्रान्तात्,1
क्रमादिभ्य,1
वुन्,7
अनुब्राह्मणात्,1
वसन्तादिभ्य,1
प्रोक्तात्,1
सूत्रात्,1
कोपधात्,4
तन्नाम्नि,1
अदूरभव,1
ओ,6
मतो,4
बह्वजङ्गात्,1
सङ्कलादिभ्य,1
सुवास्त्वादिभ्य,1
वुञ्छण्‍कठजिलशेनिरढञ्ण्ययफक्फिञिञ्ञ्यकक्ठक,1
अरीहणकृशाश्वर्श्यकुमुदकाशतृणप्रेक्षाऽश्मसखिसंकाशबलपक्षकर्णसुतंगमप्रगदिन्वराहकुमुदादिभ्य,1
जनपदे,1
वरणादिभ्य,1
शर्कराया,1
नद्याम्,1
मतुप्,4
मध्वादिभ्य,1
कुमुदनडवेतसेभ्य,1
ड्‍मतुप्,1
नडशादात्,1
वलच्,2
उत्करादिभ्य,1
नडादीनाम्,1
राष्ट्रावारपारात्,1
घखौ,1
ग्रामात्,2
यखञौ,1
कत्त्र्यादिभ्य,1
ढकञ्,1
कुलकुक्षिग्रीवाभ्य,1
श्वास्यलङ्कारेषु,1
नद्यादिभ्य,1
दक्षिणापश्चात्पुरस,1
त्यक्,1
रङ्को,1
अमनुष्ये,3
द्युप्रागपागुदक्प्रतीच,1
कन्थाया,1
अव्ययात्,2
त्यप्,1
ऐषमोह्यःश्वस,1
तीररूप्योत्तरपदात्,1
अञ्ञौ,1
असंज्ञायाम्,8
मद्रेभ्य,1
उदीच्यग्रामात्,1
बह्वच,5
प्रस्थोत्तरपदपलद्यादिकोपधात्,1
कण्वादिभ्य,1
इञ,2
प्राच्यभरतेषु,1
भवत,4
ठक्छसौ,1
काश्यादिभ्य,1
ठञ्ञिठौ,1
वाहीकग्रामेभ्य,1
उशीनरेषु,2
धन्वयोपधात्,1
प्रस्थपुरवहान्तात्,1
जनपदतदवध्यो,1
बहुवचनविषयात्,1
धूमादिभ्य,1
नगरात्,1
कुत्सनप्रावीण्ययो,1
अरण्यात्,1
मनुष्ये,2
कच्छादिभ्य,1
मनुष्यतत्स्थयो,1
अपदातौ,1
साल्वात्,1
गोयवाग्वो,1
गर्तोत्तरपदात्,1
गहादिभ्य,1
कटादे,1
अकेकान्तखोपधात्,1
पर्वतात्,1
कृकणपर्णात्,1
भारद्वाजे,1
युष्मदस्मदो,4
खञ्,4
तस्मिन्,2
अणि,4
युष्माकास्माकौ,1
तवकममकौ,1
एकवचने,2
अर्धात्,3
परावराधमोत्तमपूर्वात्,1
ग्रामजनपदैकदेशात्,1
अञ्ठञौ,1
मध्यात्,2
म,8
द्वीपात्,1
अनुसमुद्रम्,1
कालात्,4
निशाप्रदोषाभ्याम्,1
श्वस,2
तुट्,2
संधिवेलाऽऽद्यृतुनक्षत्रेभ्य,1
प्रावृष,3
एण्य,1
वर्षाभ्य,1
वसन्तात्,1
हेमन्तात्,1
सर्वत्र,10
तलोप,1
सायंचिरम्प्राह्णेप्रगेऽव्ययेभ्य,1
ट्युट्युलौ,1
ठप्,1
शरद,1
पूर्वाह्णापराह्णार्द्रामूलप्रदोषावस्करात्,1
अमावास्याया,1
सिन्ध्वपकराभ्याम्,1
कन्,6
श्रविष्ठाफल्गुन्यनुराधास्वातितिष्यपुनर्वसुहस्तविशाखाऽषाढाबहुलात्,1
स्थानान्तगोशालखरशालात्,1
वत्सशालाऽभिजिदश्वयुक्छतभिषज,1
नक्षत्रेभ्य,1
उपजानूपकर्णोपनीवे,1
कोशात्,1
साधुपुष्प्यत्पच्यमानेषु,1
आश्वयुज्या,1
ग्रीष्मवसन्तात्,1
देयम्,4
ऋणे,3
कलाप्यश्वत्थयवबुसात्,1
ग्रीष्मावरसमात्,1
संवत्सराग्रहायणीभ्याम्,1
सोढम्,1
दिगादिभ्य,1
शरीरावयवात्,2
दृतिकुक्षिकलशिवस्त्यस्त्यहे,1
ग्रीवाभ्य,1
गम्भीरात्,1
ञ्य,8
अव्ययीभावात्,1
अन्तःपूर्वपदात्,1
पर्यनुपूर्वात्,1
जिह्वामूलाङ्‍गुले,1
वर्गान्तात्,1
अशब्दे,2
यत्खौ,3
कर्णललाटात्,1
अलङ्कारे,1
व्याख्याने,1
व्याख्यातव्यनाम्न,1
अन्तोदात्ताट्ठञ्,1
क्रतुयज्ञेभ्य,1
अध्यायेषु,1
ऋषे,1
यदणौ,1
द्‍व्यजृद्‍ब्राह्मणर्क्प्रथमाध्वरपुरश्चरणनामाख्यातात्,1
ऋगयनादिभ्य,1
आयस्थानेभ्य,1
शुण्डिकादिभ्य,1
विद्यायोनिसंबन्धेभ्य,1
ऋत,13
पितु,1
अङ्कवत्,1
हेतुमनुष्येभ्य,1
रूप्य,1
विदूरात्,1
गच्छति,14
पथिदूतयो,1
शिशुक्रन्दयमसभद्वन्द्वेन्द्रजननादिभ्य,1
निवास,1
अभिजन,1
आयुधजीविभ्य,1
पर्वते,1
शण्डिकादिभ्य,1
सिन्धुतक्षशिलाऽऽदिभ्य,1
अणञौ,3
तूदीशलातुरवर्मतीकूचवारात्,1
ढक्छण्ढञ्यक,1
अचित्तात्,1
अदेशकालात्,2
महाराजात्,1
वासुदेवार्जुनाभ्याम्,1
गोत्रक्षत्रियाख्येभ्य,1
जनपदिनाम्,1
जनपदवत्,1
सर्वम्,14
जनपदेन,1
समानशब्दानाम्,1
बहुवचने,3
तित्तिरिवरतन्तुखण्डिकोखात्,1
काश्यपकौशिकाभ्याम्,1
ऋषिभ्याम्,1
कलापिवैशम्पायनान्तेवासिभ्य,1
शौनकादिभ्य,1
कठचरकात्,1
कलापिन,1
छगलिन,1
ढिनुक्,1
पाराशर्यशिलालिभ्याम्,1
भिक्षुनटसूत्रयो,1
कर्मन्दकृशाश्वात्,1
एकदिक्,1
तसि,2
उरस,4
कुलालादिभ्य,1
क्षुद्राभ्रमरवटरपादपात्,1
इदम्,126
रथात्,1
पत्त्रपूर्वात्,1
पत्त्राध्वर्युपरिषद,1
हलसीरात्,2
वैरमैथुनिकयो,1
गोत्रचरणात्,2
संघाङ्कलक्षणेषु,1
अञ्यञिञाम्,1
शाकलात्,1
छन्दोगौक्थिकयाज्ञिकबह्‍वृचनटात्,1
रैवतिकादिभ्य,1
कौपिञ्जलहास्तिपदात्,1
आथर्वणिकस्येकलोप,1
बिल्वादिभ्य,1
पलाशादिभ्य,1
शम्या,1
ट्लञ्,1
मयट्,2
एतयो,2
अभक्ष्याच्छादनयो,1
वृद्धशरादिभ्य,1
गो,2
पुरीषे,1
पिष्टात्,1
तिलयवाभ्याम्,1
उत्वद्वर्द्‍ध्रबिल्वात्,1
तालादिभ्य,1
प्राणिरजतादिभ्य,1
